Service,Week,Date,Availability
AirVantage Platform,44,2025-12-05,100.0
AirVantage Platform,45,2025-12-12,100.0
AirVantage Platform,46,2025-12-19,100.0
AirVantage Platform,47,2025-12-26,100.0
AirVantage Platform,48,2026-01-02,100.0
AirVantage Platform,49,2026-01-09,100.0
AirVantage Platform,50,2026-01-16,100.0
AirVantage Platform,51,2026-01-23,100.0
AirVantage Platform,52,2026-01-30,100.0
AirVantage Platform,1,2026-02-06,100.0
AirVantage Platform,2,2026-02-13,100.0
AirVantage Platform,3,2026-02-20,100.0
AirVantage Platform,4,2026-02-27,100.0
AirVantage Platform,5,2026-03-06,100.0
AirVantage Platform,6,2026-03-13,100.0
SIM and Connectivity Management,44,2025-12-05,100.0
SIM and Connectivity Management,45,2025-12-12,100.0
SIM and Connectivity Management,46,2025-12-19,100.0
SIM and Connectivity Management,47,2025-12-26,100.0
SIM and Connectivity Management,48,2026-01-02,100.0
SIM and Connectivity Management,49,2026-01-09,100.0
SIM and Connectivity Management,50,2026-01-16,100.0
SIM and Connectivity Management,51,2026-01-23,100.0
SIM and Connectivity Management,52,2026-01-30,100.0
SIM and Connectivity Management,1,2026-02-06,100.0
SIM and Connectivity Management,2,2026-02-13,100.0
SIM and Connectivity Management,3,2026-02-20,100.0
SIM and Connectivity Management,4,2026-02-27,100.0
SIM and Connectivity Management,5,2026-03-06,100.0
SIM and Connectivity Management,6,2026-03-13,100.0
Device Management,44,2025-12-05,100.0
Device Management,45,2025-12-12,100.0
Device Management,46,2025-12-19,100.0
Device Management,47,2025-12-26,100.0
Device Management,48,2026-01-02,100.0
Device Management,49,2026-01-09,100.0
Device Management,50,2026-01-16,100.0
Device Management,51,2026-01-23,100.0
Device Management,52,2026-01-30,100.0
Device Management,1,2026-02-06,100.0
Device Management,2,2026-02-13,100.0
Device Management,3,2026-02-20,100.0
Device Management,4,2026-02-27,100.0
Device Management,5,2026-03-06,100.0
Device Management,6,2026-03-13,100.0
AirVantage UI / API,44,2025-12-05,100.0
AirVantage UI / API,45,2025-12-12,100.0
AirVantage UI / API,46,2025-12-19,100.0
AirVantage UI / API,47,2025-12-26,100.0
AirVantage UI / API,48,2026-01-02,100.0
AirVantage UI / API,49,2026-01-09,100.0
AirVantage UI / API,50,2026-01-16,100.0
AirVantage UI / API,51,2026-01-23,100.0
AirVantage UI / API,52,2026-01-30,100.0
AirVantage UI / API,1,2026-02-06,100.0
AirVantage UI / API,2,2026-02-13,100.0
AirVantage UI / API,3,2026-02-20,100.0
AirVantage UI / API,4,2026-02-27,100.0
AirVantage UI / API,5,2026-03-06,100.0
AirVantage UI / API,6,2026-03-13,100.0
Cloud Connector Data Push,44,2025-12-05,100.0
Cloud Connector Data Push,45,2025-12-12,100.0
Cloud Connector Data Push,46,2025-12-19,100.0
Cloud Connector Data Push,47,2025-12-26,100.0
Cloud Connector Data Push,48,2026-01-02,100.0
Cloud Connector Data Push,49,2026-01-09,100.0
Cloud Connector Data Push,50,2026-01-16,100.0
Cloud Connector Data Push,51,2026-01-23,100.0
Cloud Connector Data Push,52,2026-01-30,100.0
Cloud Connector Data Push,1,2026-02-06,100.0
Cloud Connector Data Push,2,2026-02-13,100.0
Cloud Connector Data Push,3,2026-02-20,100.0
Cloud Connector Data Push,4,2026-02-27,100.0
Cloud Connector Data Push,5,2026-03-06,100.0
Cloud Connector Data Push,6,2026-03-13,100.0
Smart Connectivity Overall (Weighted Avg),44,2025-12-05,100.0
Smart Connectivity Overall (Weighted Avg),45,2025-12-12,100.0
Smart Connectivity Overall (Weighted Avg),46,2025-12-19,100.0
Smart Connectivity Overall (Weighted Avg),47,2025-12-26,100.0
Smart Connectivity Overall (Weighted Avg),48,2026-01-02,100.0
Smart Connectivity Overall (Weighted Avg),49,2026-01-09,100.0
Smart Connectivity Overall (Weighted Avg),50,2026-01-16,100.0
Smart Connectivity Overall (Weighted Avg),51,2026-01-23,100.0
Smart Connectivity Overall (Weighted Avg),52,2026-01-30,100.0
Smart Connectivity Overall (Weighted Avg),1,2026-02-06,100.0
Smart Connectivity Overall (Weighted Avg),2,2026-02-13,100.0
Smart Connectivity Overall (Weighted Avg),3,2026-02-20,100.0
Smart Connectivity Overall (Weighted Avg),4,2026-02-27,100.0
Advanced,44,2025-12-05,100.0
Advanced,45,2025-12-12,100.0
Advanced,46,2025-12-19,100.0
Advanced,47,2025-12-26,100.0
Advanced,48,2026-01-02,100.0
Advanced,49,2026-01-09,100.0
Advanced,50,2026-01-16,100.0
Advanced,51,2026-01-23,100.0
Advanced,52,2026-01-30,100.0
Advanced,1,2026-02-06,100.0
Advanced,2,2026-02-13,100.0
Advanced,3,2026-02-20,100.0
Advanced,4,2026-02-27,100.0
Advanced,5,2026-03-06,100.0
Advanced,6,2026-03-13,100.0
Essentials1 (Sparkle),44,2025-12-05,100.0
Essentials1 (Sparkle),45,2025-12-12,100.0
Essentials1 (Sparkle),46,2025-12-19,100.0
Essentials1 (Sparkle),47,2025-12-26,100.0
Essentials1 (Sparkle),48,2026-01-02,100.0
Essentials1 (Sparkle),49,2026-01-09,100.0
Essentials1 (Sparkle),50,2026-01-16,100.0
Essentials1 (Sparkle),51,2026-01-23,100.0
Essentials1 (Sparkle),52,2026-01-30,100.0
Essentials1 (Sparkle),1,2026-02-06,100.0
Essentials1 (Sparkle),2,2026-02-13,100.0
Essentials1 (Sparkle),3,2026-02-20,100.0
Essentials1 (Sparkle),4,2026-02-27,100.0
Essentials1 (Sparkle),5,2026-03-06,100.0
Essentials1 (Sparkle),6,2026-03-13,100.0
Essentials2 (BICS),44,2025-12-05,100.0
Essentials2 (BICS),45,2025-12-12,100.0
Essentials2 (BICS),46,2025-12-19,100.0
Essentials2 (BICS),47,2025-12-26,100.0
Essentials2 (BICS),48,2026-01-02,100.0
Essentials2 (BICS),49,2026-01-09,100.0
Essentials2 (BICS),50,2026-01-16,100.0
Essentials2 (BICS),51,2026-01-23,100.0
Essentials2 (BICS),52,2026-01-30,100.0
Essentials2 (BICS),1,2026-02-06,100.0
Essentials2 (BICS),2,2026-02-13,100.0
Essentials2 (BICS),3,2026-02-20,100.0
Essentials2 (BICS),4,2026-02-27,100.0
Essentials2 (BICS),5,2026-03-06,100.0
Essentials2 (BICS),6,2026-03-13,100.0
Essentials3 (JT - Velos IoT),44,2025-12-05,100.0
Essentials3 (JT - Velos IoT),45,2025-12-12,100.0
Essentials3 (JT - Velos IoT),46,2025-12-19,100.0
Essentials3 (JT - Velos IoT),47,2025-12-26,100.0
