Offering,Service,Week,Date,Availability
ADVANCED,DATA,1,2025-01-03,100.0
ADVANCED,DATA,2,2025-01-10,100.0
ADVANCED,DATA,3,2025-01-17,100.0
ADVANCED,DATA,4,2025-01-24,100.0
ADVANCED,DATA,5,2025-01-31,100.0
ADVANCED,DATA,6,2025-02-07,100.0
ADVANCED,DATA,7,2025-02-14,100.0
ADVANCED,DATA,8,2025-02-21,100.0
ADVANCED,DATA,9,2025-02-28,100.0
ADVANCED,DATA,10,2025-03-07,100.0
ADVANCED,DATA,11,2025-03-14,100.0
ADVANCED,DATA,12,2025-03-21,100.0
ADVANCED,DATA,13,2025-03-28,100.0
ADVANCED,DATA,14,2025-04-04,100.0
ADVANCED,DATA,15,2025-04-11,100.0
ADVANCED,DATA,16,2025-04-18,100.0
ADVANCED,DATA,17,2025-04-25,100.0
ADVANCED,DATA,18,2025-05-02,100.0
ADVANCED,DATA,19,2025-05-09,100.0
ADVANCED,DATA,20,2025-05-16,100.0
ADVANCED,DATA,21,2025-05-23,100.0
ADVANCED,DATA,22,2025-05-30,100.0
ADVANCED,DATA,23,2025-06-06,100.0
ADVANCED,DATA,24,2025-06-13,100.0
ADVANCED,DATA,25,2025-06-20,100.0
ADVANCED,DATA,26,2025-06-27,100.0
ADVANCED,DATA,27,2025-07-04,97.95
ADVANCED,DATA,28,2025-07-11,100.0
ADVANCED,DATA,29,2025-07-18,100.0
ADVANCED,DATA,30,2025-07-25,100.0
ADVANCED,DATA,31,2025-08-01,100.0
ADVANCED,DATA,32,2025-08-08,100.0
ADVANCED,DATA,33,2025-08-15,100.0
ADVANCED,DATA,34,2025-08-22,100.0
ADVANCED,DATA,35,2025-08-29,100.0
ADVANCED,DATA,36,2025-09-05,100.0
ADVANCED,DATA,37,2025-09-12,100.0
ADVANCED,DATA,38,2025-09-19,100.0
ADVANCED,DATA,39,2025-09-26,100.0
ADVANCED,DATA,40,2025-10-03,100.0
ADVANCED,DATA,41,2025-10-10,100.0
ADVANCED,DATA,42,2025-10-17,100.0
ADVANCED,DATA,43,2025-10-24,100.0
ADVANCED,DATA,44,2025-10-31,100.0
ADVANCED,DATA,45,2025-11-07,100.0
ADVANCED,DATA,46,2025-11-14,100.0
ADVANCED,DATA,47,2025-11-21,100.0
ADVANCED,DATA,48,2025-11-28,100.0
ADVANCED,DATA,49,2025-12-05,100.0
ADVANCED,DATA,50,2025-12-12,100.0
ADVANCED,DATA,51,2025-12-19,100.0
ADVANCED,DATA,52,2025-12-26,100.0
ADVANCED,DATA,1,2026-01-02,100.0
ADVANCED,DATA,2,2026-01-09,100.0
ADVANCED,DATA,3,2026-01-16,100.0
ADVANCED,DATA,4,2026-01-23,100.0
ADVANCED,DATA,5,2026-01-30,100.0
ADVANCED,DATA,6,2026-02-06,100.0
ADVANCED,DATA,7,2026-02-13,70.24
ADVANCED,SMS,1,2025-01-03,100.0
ADVANCED,SMS,2,2025-01-10,100.0
ADVANCED,SMS,3,2025-01-17,100.0
ADVANCED,SMS,4,2025-01-24,100.0
ADVANCED,SMS,5,2025-01-31,100.0
ADVANCED,SMS,6,2025-02-07,100.0
ADVANCED,SMS,7,2025-02-14,100.0
ADVANCED,SMS,8,2025-02-21,100.0
ADVANCED,SMS,9,2025-02-28,100.0
ADVANCED,SMS,10,2025-03-07,100.0
ADVANCED,SMS,11,2025-03-14,100.0
ADVANCED,SMS,12,2025-03-21,100.0
ADVANCED,SMS,13,2025-03-28,100.0
ADVANCED,SMS,14,2025-04-04,100.0
ADVANCED,SMS,15,2025-04-11,100.0
ADVANCED,SMS,16,2025-04-18,100.0
ADVANCED,SMS,17,2025-04-25,100.0
ADVANCED,SMS,18,2025-05-02,100.0
ADVANCED,SMS,19,2025-05-09,100.0
ADVANCED,SMS,20,2025-05-16,100.0
ADVANCED,SMS,21,2025-05-23,100.0
ADVANCED,SMS,22,2025-05-30,100.0
ADVANCED,SMS,23,2025-06-06,100.0
ADVANCED,SMS,24,2025-06-13,100.0
ADVANCED,SMS,25,2025-06-20,100.0
ADVANCED,SMS,26,2025-06-27,100.0
ADVANCED,SMS,27,2025-07-04,97.95
ADVANCED,SMS,28,2025-07-11,100.0
ADVANCED,SMS,29,2025-07-18,100.0
ADVANCED,SMS,30,2025-07-25,100.0
ADVANCED,SMS,31,2025-08-01,100.0
ADVANCED,SMS,32,2025-08-08,100.0
ADVANCED,SMS,33,2025-08-15,100.0
ADVANCED,SMS,34,2025-08-22,100.0
ADVANCED,SMS,35,2025-08-29,100.0
ADVANCED,SMS,36,2025-09-05,100.0
ADVANCED,SMS,37,2025-09-12,100.0
ADVANCED,SMS,38,2025-09-19,100.0
ADVANCED,SMS,39,2025-09-26,100.0
ADVANCED,SMS,40,2025-10-03,100.0
ADVANCED,SMS,41,2025-10-10,100.0
ADVANCED,SMS,42,2025-10-17,100.0
ADVANCED,SMS,43,2025-10-24,100.0
ADVANCED,SMS,44,2025-10-31,100.0
ADVANCED,SMS,45,2025-11-07,100.0
ADVANCED,SMS,46,2025-11-14,100.0
ADVANCED,SMS,47,2025-11-21,100.0
ADVANCED,SMS,48,2025-11-28,100.0
ADVANCED,SMS,49,2025-12-05,100.0
ADVANCED,SMS,50,2025-12-12,100.0
ADVANCED,SMS,51,2025-12-19,100.0
ADVANCED,SMS,52,2025-12-26,100.0
ADVANCED,SMS,1,2026-01-02,100.0
ADVANCED,SMS,2,2026-01-09,100.0
ADVANCED,SMS,3,2026-01-16,100.0
ADVANCED,SMS,4,2026-01-23,100.0
ADVANCED,SMS,5,2026-01-30,100.0
ADVANCED,SMS,6,2026-02-06,100.0
ADVANCED,SMS,7,2026-02-13,100.0
ADVANCED,VOICE,1,2025-01-03,100.0
ADVANCED,VOICE,2,2025-01-10,100.0
ADVANCED,VOICE,3,2025-01-17,100.0
ADVANCED,VOICE,4,2025-01-24,100.0
ADVANCED,VOICE,5,2025-01-31,100.0
ADVANCED,VOICE,6,2025-02-07,100.0
ADVANCED,VOICE,7,2025-02-14,100.0
ADVANCED,VOICE,8,2025-02-21,100.0
ADVANCED,VOICE,9,2025-02-28,100.0
ADVANCED,VOICE,10,2025-03-07,100.0
ADVANCED,VOICE,11,2025-03-14,100.0
ADVANCED,VOICE,12,2025-03-21,100.0
ADVANCED,VOICE,13,2025-03-28,100.0
ADVANCED,VOICE,14,2025-04-04,100.0
ADVANCED,VOICE,15,2025-04-11,100.0
ADVANCED,VOICE,16,2025-04-18,100.0
ADVANCED,VOICE,17,2025-04-25,100.0
ADVANCED,VOICE,18,2025-05-02,100.0
ADVANCED,VOICE,19,2025-05-09,100.0
ADVANCED,VOICE,20,2025-05-16,100.0
ADVANCED,VOICE,21,2025-05-23,100.0
ADVANCED,VOICE,22,2025-05-30,100.0
ADVANCED,VOICE,23,2025-06-06,100.0
ADVANCED,VOICE,24,2025-06-13,100.0
ADVANCED,VOICE,25,2025-06-20,100.0
ADVANCED,VOICE,26,2025-06-27,100.0
ADVANCED,VOICE,27,2025-07-04,97.95
ADVANCED,VOICE,28,2025-07-11,100.0
ADVANCED,VOICE,29,2025-07-18,100.0
ADVANCED,VOICE,30,2025-07-25,100.0
ADVANCED,VOICE,31,2025-08-01,100.0
ADVANCED,VOICE,32,2025-08-08,100.0
ADVANCED,VOICE,33,2025-08-15,100.0
ADVANCED,VOICE,34,2025-08-22,100.0
ADVANCED,VOICE,35,2025-08-29,100.0
ADVANCED,VOICE,36,2025-09-05,100.0
ADVANCED,VOICE,37,2025-09-12,100.0
ADVANCED,VOICE,38,2025-09-19,100.0
ADVANCED,VOICE,39,2025-09-26,100.0
ADVANCED,VOICE,40,2025-10-03,100.0
ADVANCED,VOICE,41,2025-10-10,100.0
ADVANCED,VOICE,42,2025-10-17,100.0
ADVANCED,VOICE,43,2025-10-24,100.0
ADVANCED,VOICE,44,2025-10-31,100.0
ADVANCED,VOICE,45,2025-11-07,100.0
ADVANCED,VOICE,46,2025-11-14,100.0
ADVANCED,VOICE,47,2025-11-21,100.0
ADVANCED,VOICE,48,2025-11-28,100.0
ADVANCED,VOICE,49,2025-12-05,100.0
ADVANCED,VOICE,50,2025-12-12,100.0
ADVANCED,VOICE,51,2025-12-19,100.0
ADVANCED,VOICE,52,2025-12-26,100.0
ADVANCED,VOICE,1,2026-01-02,100.0
ADVANCED,VOICE,2,2026-01-09,100.0
ADVANCED,VOICE,3,2026-01-16,100.0
ADVANCED,VOICE,4,2026-01-23,100.0
ADVANCED,VOICE,5,2026-01-30,100.0
ADVANCED,VOICE,6,2026-02-06,100.0
ADVANCED,VOICE,7,2026-02-13,100.0
ESSENTIALS1,DATA,1,2025-01-03,100.0
ESSENTIALS1,DATA,2,2025-01-10,100.0
ESSENTIALS1,DATA,3,2025-01-17,100.0
ESSENTIALS1,DATA,4,2025-01-24,100.0
ESSENTIALS1,DATA,5,2025-01-31,100.0
ESSENTIALS1,DATA,6,2025-02-07,100.0
ESSENTIALS1,DATA,7,2025-02-14,100.0
ESSENTIALS1,DATA,8,2025-02-21,100.0
ESSENTIALS1,DATA,9,2025-02-28,100.0
ESSENTIALS1,DATA,10,2025-03-07,100.0
ESSENTIALS1,DATA,11,2025-03-14,100.0
ESSENTIALS1,DATA,12,2025-03-21,100.0
ESSENTIALS1,DATA,13,2025-03-28,100.0
ESSENTIALS1,DATA,14,2025-04-04,100.0
ESSENTIALS1,DATA,15,2025-04-11,100.0
ESSENTIALS1,DATA,16,2025-04-18,100.0
ESSENTIALS1,DATA,17,2025-04-25,100.0
ESSENTIALS1,DATA,18,2025-05-02,100.0
ESSENTIALS1,DATA,19,2025-05-09,100.0
ESSENTIALS1,DATA,20,2025-05-16,100.0
ESSENTIALS1,DATA,21,2025-05-23,100.0
ESSENTIALS1,DATA,22,2025-05-30,100.0
ESSENTIALS1,DATA,23,2025-06-06,100.0
ESSENTIALS1,DATA,24,2025-06-13,97.04
ESSENTIALS1,DATA,25,2025-06-20,100.0
ESSENTIALS1,DATA,26,2025-06-27,100.0
ESSENTIALS1,DATA,27,2025-07-04,97.95
ESSENTIALS1,DATA,28,2025-07-11,100.0
ESSENTIALS1,DATA,29,2025-07-18,100.0
ESSENTIALS1,DATA,30,2025-07-25,100.0
ESSENTIALS1,DATA,31,2025-08-01,100.0
ESSENTIALS1,DATA,32,2025-08-08,100.0
ESSENTIALS1,DATA,33,2025-08-15,100.0
ESSENTIALS1,DATA,34,2025-08-22,100.0
